證券代號,證券名稱,收盤,GVI指標,殖利率,本益比,淨值比,外資持股(%),張數,100張以下比例,100-1000張比例,1000張以上比例,1000張以上人數,毛利率,營業利益率,ROE,稅後淨利率,股利政策(現金/股票),本益比區間
2884,玉山金,30.05,0.96,399.0,15.49,1.87,27.26,38182,,,,,0.0,48.23,12.38,39.18,1.2 / 0,15.5 [12.6-17.8]
2885,元大金,35.65,1.18,422.0,13.76,1.44,27.94,49322,,,,,99.22,28.66,11.1,27.18,1.5 / 0,13.8 [9.8-14.0]
5880,合庫金,24.0,1.0,292.0,19.51,1.45,12.14,11777,,,,,0.0,38.24,7.65,30.35,0.7 / 0,19.5 [16.8-20.3]
2892,第一金,28.3,1.03,336.0,15.99,1.55,31.57,17644,,,,,0.0,50.29,9.89,38.06,0.95 / 0,16.0 [13.0-17.0]
2880,華南金,29.2,0.53,428.0,17.28,1.89,38.35,17685,,,,,0.0,51.68,0.0,37.61,1.25 / 0,17.3 [14.0-17.8]
2890,永豐金,26.7,1.07,341.0,14.51,1.62,21.66,34653,,,,,0.0,48.17,11.6,36.76,0.91 / 0,14.5 [9.6-14.8]
2883,開發金,15.2,1.41,554.0,11.97,1.03,23.32,45210,,,,,41.58,53.62,7.82,5.98,0.84 / 0,12.0 [10.3-13.9]
2887,台新金,18.35,1.31,490.0,13.49,1.18,15.07,55509,,,,,0.0,42.04,9.11,31.86,0.9 / 0,13.5 [9.8-14.6]
5876,上海商銀,40.0,1.41,450.0,12.66,0.98,23.19,9825,,,,,0.0,55.44,6.66,41.52,1.8 / 0,12.7 [11.2-14.9]
2834,臺企銀,15.5,1.46,129.0,12.5,1.05,33.47,13473,,,,,0.0,46.16,8.88,37.66,0.2 / 0,12.5 [9.5-12.8]
2845,遠東銀,12.5,1.69,400.0,14.53,0.79,7.33,6060,,,,,0.0,39.26,5.94,31.56,0.5 / 0,14.5 [12.5-15.1]
